Designator Comment                                                       Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
C14        "100 nF"                                                      BottomLayer C0805_YA                     -2082.677     452.756       90       "cap 0805"                                                                                                                                               
C2_A11     "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     3440.945      90       ""                                                                                                                                                       
C2_A10     "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     3192.913      90       ""                                                                                                                                                       
C2_A9      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     2944.882      90       ""                                                                                                                                                       
C2_A8      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     2685.039      90       ""                                                                                                                                                       
C2_A7      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     2440.945      90       ""                                                                                                                                                       
C2_A6      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     2185.039      90       ""                                                                                                                                                       
C2_A5      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     1933.071      90       ""                                                                                                                                                       
C2_A4      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     1677.165      90       ""                                                                                                                                                       
C2_A3      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -2141.732     1433.071      90       ""                                                                                                                                                       
C1_A11     "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -608.799      3440.945      90       ""                                                                                                                                                       
C1_A10     "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -608.799      3192.913      90       ""                                                                                                                                                       
C1_A9      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -608.799      2944.882      90       ""                                                                                                                                                       
C1_A8      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -608.799      2685.039      90       ""                                                                                                                                                       
C1_A7      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -608.799      2440.945      90       ""                                                                                                                                                       
C1_A6      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -608.799      2185.039      90       ""                                                                                                                                                       
C1_A5      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -606.299      1933.071      90       ""                                                                                                                                                       
C1_A4      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -610.236      1677.165      90       ""                                                                                                                                                       
C1_A3      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -610.236      1433.071      90       ""                                                                                                                                                       
C1_A2      "Ceramic capacitor, 0805, 1u, �10%, 25V, X7R, -55...+125�C"   BottomLayer CAP_0805                     -610.236      1173.228      90       ""                                                                                                                                                       
VD10_A2    ""                                                            TopLayer    LED_3535                     -1503.917     1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD9_A2     ""                                                            TopLayer    LED_3535                     -244.095      1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD8_A2     ""                                                            TopLayer    LED_3535                     -1755.886     1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A2     ""                                                            TopLayer    LED_3535                     -496.043      1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A2     ""                                                            TopLayer    LED_3535                     -2007.854     1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD5_A2     ""                                                            TopLayer    LED_3535                     -748.012      1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD4_A2     ""                                                            TopLayer    LED_3535                     -2259.823     1129.921      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
